iter	Passed	Remaining
713	996	399
714	997	397
715	998	395
716	999	394
717	1000	392
718	1001	391
719	1002	390
720	1003	388
721	1004	386
722	1005	385
723	1006	383
724	1007	382
725	1008	380
726	1009	379
727	1010	377
728	1011	375
729	1012	374
730	1013	372
731	1014	371
732	1015	369
733	1017	368
734	1018	367
735	1018	365
736	1019	363
737	1020	362
738	1021	360
739	1022	359
740	1023	357
741	1024	356
742	1025	354
743	1026	353
744	1027	351
745	1028	350
746	1028	348
747	1029	346
748	1031	345
749	1032	344
750	1033	342
751	1034	341
752	1035	339
753	1036	338
754	1037	336
755	1038	335
756	1039	333
757	1040	332
758	1040	330
759	1041	329
760	1042	327
761	1043	325
762	1044	324
763	1046	323
764	1047	321
765	1048	320
766	1049	318
767	1050	317
768	1051	315
769	1052	314
770	1053	312
771	1054	311
772	1055	309
773	1056	308
774	1057	306
775	1057	305
776	1058	303
777	1059	302
778	1061	301
779	1062	299
780	1063	298
781	1064	296
782	1065	295
783	1066	293
784	1067	292
785	1068	290
786	1069	289
787	1070	287
788	1071	286
789	1072	285
790	1073	283
791	1074	282
792	1075	280
793	1076	279
794	1077	277
795	1078	276
796	1079	274
797	1080	273
798	1081	272
799	1082	270
800	1083	269
801	1084	267
802	1085	266
803	1086	264
804	1087	263
805	1087	261
806	1088	260
807	1089	258
808	1091	257
809	1092	256
810	1093	254
811	1094	253
812	1095	251
813	1096	250
814	1097	249
815	1098	247
816	1099	246
817	1100	244
818	1101	243
819	1102	241
820	1103	240
821	1103	239
822	1104	237
823	1106	236
824	1107	234
825	1108	233
826	1109	232
827	1110	230
828	1111	229
829	1112	227
830	1113	226
831	1114	224
832	1114	223
833	1115	222
834	1116	220
835	1117	219
836	1118	217
837	1119	216
838	1121	215
839	1122	213
840	1123	212
841	1124	210
842	1125	209
843	1126	208
844	1126	206
845	1127	205
846	1128	203
847	1129	202
848	1130	201
849	1131	199
850	1132	198
851	1133	196
852	1134	195
853	1136	194
854	1137	192
855	1138	191
856	1139	190
857	1140	188
858	1140	187
859	1141	185
860	1142	184
861	1143	183
862	1144	181
863	1145	180
864	1146	178
865	1147	177
866	1148	176
867	1149	174
868	1151	173
869	1152	172
870	1153	170
871	1154	169
872	1155	168
873	1155	166
874	1156	165
875	1157	163
876	1158	162
877	1159	161
878	1160	159
879	1161	158
880	1162	157
881	1163	155
882	1166	154
883	1167	153
884	1168	151
885	1169	150
886	1170	149
887	1171	147
888	1172	146
889	1172	144
890	1173	143
891	1174	142
892	1175	140
893	1176	139
894	1177	138
895	1178	136
896	1179	135
897	1181	134
898	1182	132
899	1183	131
900	1184	130
901	1184	128
902	1185	127
903	1186	126
904	1187	124
905	1188	123
906	1189	121
907	1190	120
908	1191	119
909	1192	117
910	1193	116
911	1194	115
912	1195	113
913	1196	112
914	1197	111
915	1198	109
916	1199	108
917	1200	107
918	1201	105
919	1202	104
920	1203	103
921	1204	101
922	1205	100
923	1206	99
924	1207	97
925	1208	96
926	1209	95
927	1210	93
928	1211	92
929	1212	91
930	1213	89
931	1214	88
932	1215	87
933	1216	85
934	1217	84
935	1218	83
936	1219	81
937	1220	80
938	1221	79
939	1222	78
940	1223	76
941	1223	75
942	1225	74
943	1226	72
944	1227	71
945	1228	70
946	1229	68
947	1230	67
948	1231	66
949	1232	64
950	1233	63
951	1234	62
952	1235	60
953	1235	59
954	1236	58
955	1237	56
956	1238	55
957	1240	54
958	1241	53
959	1242	51
960	1243	50
961	1244	49
962	1245	47
963	1246	46
964	1247	45
965	1247	43
966	1248	42
967	1249	41
968	1250	40
969	1251	38
970	1252	37
971	1253	36
972	1255	34
973	1256	33
974	1257	32
975	1258	30
976	1259	29
977	1260	28
978	1261	27
979	1261	25
980	1262	24
981	1263	23
982	1264	21
983	1265	20
984	1266	19
985	1267	17
986	1268	16
987	1270	15
988	1271	14
989	1272	12
990	1273	11
991	1274	10
992	1274	8
993	1275	7
994	1276	6
995	1277	5
996	1278	3
997	1279	2
998	1280	1
999	1281	0
